Scientific Name,Common Name,Rarity Status
Arabis glaucovalvula,bluepod rockcress,G3?
Arabis gunnisoniana,Gunnison's rockcress,G3
Arabis hastatula,eared rockcress,G2
Arabis hirshbergiae,Cuyamaca rockcress,G1
Arabis hoffmannii,Hoffmann's rockcress,G2?
Arabis inyoensis,Inyo rockcress,G3?
Arabis johnstonii,Johnston's rockcress,G1
Arabis koehleri,Koehler's rockcress,G3
Arabis koehleri var. koehleri,Koehler's rockcress,G3T1Q
Arabis koehleri var. stipitata,Koehler's rockcress,G3T3Q
Arabis lasiocarpa,Wasatch rockcress,G3
Arabis lyallii var. nubigena,Lyall's rockcress,G5T2T4
Arabis macdonaldiana,MacDonald rockcress,G2
Arabis microphylla var. thompsonii,Thompson's rockcress,G5T1Q
Arabis modesta,Rogue Canyon rockcress,G3
Arabis ophira,Ophir Pass rockcress,G1G2
Arabis oregana,Oregon rockcress,G3G4Q
Arabis oxylobula,Glenwood Springs rockcress,G3
Arabis parishii,dwarf rockcress,G2
Arabis patens,spreading rockcress,G3
Arabis pendulina var. russeola,russeola rockcress,G5T3?
Arabis perstellata,Braun's rockcress,G2
Arabis pinzliae,Boundary Peak rockcress,G2
Arabis platysperma var. platysperma,pioneer rockcress,G5T3?
Arabis pulchra var. duchesnensis,Duchesne rockcress,G5T1
Arabis pulchra var. pulchra,beautiful rockcress,G5T2T4
Arabis pusilla,Fremont County rockcress,G1
Arabis pygmaea,Tulare County rockcress,G3
Arabis rectissima var. simulans,bristlyleaf rockcress,G4G5T1Q
Arabis repanda var. greenei,Greene's rockcress,G5T2T3
Arabis rigidissima,Trinity Mountain rockcress,G3
Arabis rigidissima var. demota,Trinity Mountain rockcress,G3T3Q
Arabis rigidissima var. rigidissima,Trinity Mountain rockcress,G3T2
Arabis rollei,Klamath River rockcress,G1
Arabis schistacea,divided rockcress,G3?
Arabis serotina,shale barren rockcress,G2
Arabis shockleyi,Shockley's rockcress,G3
Arabis sparsiflora var. atrorubens,elegant rockcress,G5T3
Arabis sparsiflora var. columbiana,Columbian rockcress,G5T2T4
Arabis suffrutescens var. horizontalis,horizontal woody rockcress,G5T1
Arabis suffrutescens var. suffrutescens,woody rockcress,G5T3T4
Arabis tiehmii,Carson Range rockcress,G2
Arabis tricornuta,Rincon Mountain rockcress,G1G2
Arabis williamsii,Wind River rockcress,G3Q
Arabis williamsii var. saximontana,Cross Mountain rockcress,G3QT3Q
Arabis williamsii var. williamsii,Wind River rockcress,G3QT3Q
Arachniodes insularis,Santa Cruz Island hollyfern,G2G3
Aralia humilis,Arizona spikenard,G3G4
Arceuthobium apachecum,Apache dwarf mistletoe,G3G4
Arceuthobium blumeri,southwestern white pine dwarf mistletoe,G3?
Arceuthobium microcarpum,western spruce dwarf mistletoe,G2?
Arceuthobium tsugense ssp. mertensianae,hemlock dwarf mistletoe,G5T3T4
Archidium hallii,Hall's archidium moss,G3?
Archidium minus,small archidium moss,G2?
Arctomecon californica,California bearpoppy,G3
Arctomecon humilis,common bearpoppy,G1
Arctomecon merriamii,desert bearpoppy,G3
Arctostaphylos andersonii,Santa Cruz manzanita,G2
Arctostaphylos auriculata,Mt. Diablo manzanita,G2
Arctostaphylos bakeri,Baker's manzanita,G2
Arctostaphylos bakeri ssp. bakeri,Baker's manzanita,G2T2
Arctostaphylos bakeri ssp. sublaevis,The Cedars manzanita,G2T2
Arctostaphylos canescens,hoary manzanita,G3G4
Arctostaphylos canescens ssp. canescens,hoary manzanita,G3G4T3T4
Arctostaphylos canescens ssp. sonomensis,Sonoma manzanita,G3G4T2
Arctostaphylos catalinae,Santa Catalina Island manzanita,G2
Arctostaphylos confertiflora,Santa Rosa Island manzanita,G1
Arctostaphylos cruzensis,La Cruz manzanita,G2
Arctostaphylos densiflora,Vine Hill manzanita,G1
Arctostaphylos edmundsii,Little Sur manzanita,G2
Arctostaphylos gabilanensis,Gabilan Mountains manzanita,G1
Arctostaphylos gabrielensis,San Gabriel manzanita,G2
Arctostaphylos glandulosa ssp. crassifolia,Del Mar manzanita,G5T2
Arctostaphylos glandulosa ssp. glaucomollis,Eastwood's manzanita,G5T2T3
Arctostaphylos glandulosa ssp. mollis,Eastwood's manzanita,G5T3?
Arctostaphylos glutinosa,Schreiber's manzanita,G2
